id,x,y,w,age
U0127,9.441,9.948,D,73
U0128,3.477,5.112,B,53
U0129,3.663,4.949,B,27
U0130,9.95,9.793,D,63
U0131,6.846,6.635,C,18
U0132,3.518,4.523,B,70
U0133,-1.122,2.958,A,43
U0134,2.171,0.371,A,19
U0135,8.038,6.793,C,68
U0136,5.157,6.69,C,49
U0137,11.293,9.04,D,39
U0138,5.04,3.512,B,36
U0139,-0.257,2.499,A,50
U0140,6.481,7.353,C,36
U0141,2.523,1.092,A,68
U0142,6.49,7.12,C,32
U0143,3.886,3.707,B,62
U0144,1.629,0.146,A,28
U0145,10.012,11.068,D,38
U0146,1.227,1.14,A,
U0147,9.912,9.971,D,30
U0148,9.94,9.579,D,78
U0149,10.12,9.029,D,41
U0150,0.533,0.506,A,60
U0151,9.369,10.111,D,46
U0152,8.59,6.111,C,45
U0153,10.072,9.62,D,68
U0154,4.339,3.481,B,24
U0155,6.423,7.31,C,60
U0156,9.754,10.916,D,29
U0157,2.636,4.187,B,27
U0158,3.933,4.251,B,47
U0159,1.966,0.448,A,46
U0160,0.714,1.671,A,31
U0161,2.777,3.437,B,77
U0162,2.761,4.805,B,25
U0163,10.352,9.77,D,52
U0164,6.768,7.426,C,57
U0165,2.474,4.879,B,78
U0166,5.441,3.687,B,49
U0167,3.575,4.62,B,45
U0168,4.511,3.889,B,39
U0169,1.124,1.263,A,79
U0170,8.006,10.943,D,79
U0171,6.481,2.515,B,39
U0172,3.892,4.157,B,78
U0173,3.128,4.35,B,71
U0174,0.184,0.768,A,27
U0175,10.981,10.123,D,71
U0176,2.706,0.768,A,38
U0177,3.195,3.358,B,60
U0178,6.491,6.021,C,
U0179,4.697,3.992,B,21
U0180,10.269,9.599,D,50
U0181,9.522,10.163,D,
U0182,7.624,6.226,C,35
U0183,7.258,6.675,C,74
U0184,7.183,6.669,C,44
U0185,0.91,0.288,A,21
U0186,9.846,9.836,D,36
U0187,2.597,0.511,A,52
U0188,10.25,10.217,D,76
U0189,0.783,1.245,A,45
U0190,3.823,4.496,B,33
U0191,8.008,10.826,D,78
U0192,1.921,1.088,A,25
U0193,-0.283,0.719,A,80
U0194,0.62,0.644,A,23
U0195,1.304,0.873,A,55
U0196,2.318,0.134,A,24
U0197,1.034,1.65,A,49
U0198,8.773,10.039,D,
U0199,-0.77,1.7,A,45
U0200,0.419,1.451,A,49
U0201,11.299,10.264,D,41
U0202,4.508,3.931,B,58
U0203,0.001,1.209,A,34
U0204,0.224,2.219,A,50
U0205,3.973,3.192,B,55
U0206,1.616,1.231,A,37
U0207,7.642,6.921,C,20
U0208,12.463,9.289,D,78
U0209,6.987,7.459,C,75
U0210,3.891,3.895,B,32
U0211,6.774,7.511,C,54
U0212,9.089,10.113,D,22
U0213,10.939,9.847,D,68
U0214,7.552,6.679,C,55
U0215,3.831,4.165,B,46
U0216,2.796,4.105,B,24
U0217,8.995,9.677,D,30
U0218,2.148,0.966,A,38
U0219,7.29,6.32,C,53
U0220,-1.352,1.69,A,21
U0221,7.552,6.323,C,68
U0222,4.095,4.035,B,54
U0223,1.765,-0.647,A,40
U0224,4.108,3.628,B,57
U0225,4.008,4.461,B,32
U0226,8.181,6.125,C,39
U0227,10.447,9.511,D,73
U0228,2.137,0.909,A,80
U0229,1.519,0.722,A,78
U0230,8.73,5.298,C,39
U0231,8.584,5.401,C,40
U0232,1.252,0.721,A,45
U0233,7.605,6.907,C,22
U0234,8.522,6.171,C,24
U0235,6.479,7.111,C,48
U0236,4.515,3.774,B,51
U0237,3.046,4.679,B,53
U0238,4.143,3.283,B,26
U0239,0.783,1.402,A,63
U0240,2.771,0.313,A,58
U0241,2.483,0.3,A,58
U0242,7.161,7.507,C,75
U0243,4.293,3.534,B,68
U0244,-0.173,2.105,A,39
U0245,3.587,4.101,B,61
U0246,5.964,7.577,C,30
U0247,1.657,0.852,A,77
U0248,3.325,3.423,B,70
U0249,10.908,9.893,D,32
U0250,11.346,9.506,D,45
U0251,10.392,9.256,D,32
U0252,8.174,11.382,D,25
U0253,4.481,3.357,B,22
U0254,0.992,1.398,A,30
U0255,7.059,11.606,D,32
U0256,2.593,0.909,A,75
U0257,9.952,9.917,D,21
U0258,1.422,0.926,A,18
U0259,10.191,10.021,D,
U0260,1.959,1.242,A,66
U0261,5.039,3.319,B,39
U0262,7.306,6.801,C,18
U0263,0.91,1.449,A,51
U0264,7.361,7.127,C,48
U0265,1.755,5.384,B,36
U0266,2.4,-0.46,A,
U0267,1.594,0.748,A,24
U0268,7.031,7.608,C,80
U0269,0.567,0.842,A,64
U0270,2.01,0.525,A,61
U0271,10.633,10.01,D,76
U0272,9.951,10.008,D,33
U0273,5.47,3.621,B,20
U0274,1.504,0.947,A,24
U0275,1.068,1.606,A,65
U0276,6.971,7.222,C,41
U0277,4.249,4.026,B,42
U0278,7.096,5.96,C,52
U0279,8.423,10.5,D,20
U0280,8.804,11.132,D,37
U0281,3.352,4.645,B,31
U0282,1.27,0.505,A,
U0283,10.804,10.27,D,74
U0284,4.305,3.472,B,68
U0285,0.911,0.685,A,64
U0286,0.488,1.446,A,80
U0287,10.327,9.125,D,60
U0288,5.167,3.82,B,59
U0289,5.364,3.568,B,38
U0290,7.296,7.228,C,64
U0291,2.523,-0.345,A,56
U0292,10.946,9.642,D,67
U0293,5.392,4.195,B,29
U0294,2.526,0.686,A,35
U0295,4.613,4.334,B,63
U0296,10.135,8.849,D,20
U0297,0.106,1.472,A,59
U0298,5.8,6.511,C,31
U0299,4.493,3.754,B,62
U0300,8.567,11.351,D,69
U0301,9.437,5.793,C,25
U0302,5.924,7.11,C,62
U0303,10.131,9.773,D,56
U0304,5.38,7.536,C,55
U0305,3.513,4.616,B,69
U0306,0.786,1.416,A,54
U0307,1.743,0.288,A,75
U0308,3.335,4.446,B,49
U0309,4.116,3.504,B,
U0310,3.972,8.744,C,36
U0311,9.424,9.596,D,63
U0312,7.807,6.649,C,61
U0313,3.758,5.174,B,54
U0314,3.734,3.943,B,55
U0315,11.334,9.646,D,22
U0316,5.631,3.029,B,38
U0317,0.525,0.93,A,68
U0318,11.226,9.723,D,69
U0319,5.721,3.152,B,79
U0320,6.82,6.337,C,38
U0321,7.798,6.762,C,63
U0322,3.399,0.509,A,31
U0323,7.235,6.757,C,52
U0324,0.824,0.826,A,53
U0325,11.455,8.884,D,57
U0326,2.356,-0.045,A,74
U0327,11.185,8.61,D,76
U0328,0.854,-0.093,A,78
U0329,9.222,10.721,D,37
U0330,7.523,6.563,C,60
U0331,6.451,7.402,C,25
U0332,3.113,5.017,B,25
U0333,3.299,3.042,B,29
U0334,7.582,6.992,C,43
U0335,3.462,4.333,B,37
U0336,7.215,7.149,C,49
U0337,4.917,3.781,B,72
U0338,0.019,1.067,A,72
U0339,10.484,10.421,D,32
U0340,10.052,8.714,D,32
U0341,7.005,6.563,C,68
U0342,-0.08,1.9,A,33
U0343,-0.184,1.11,A,22
U0344,7.562,7.478,C,43
U0345,6.275,6.692,C,55
U0346,7.411,5.585,C,32
U0347,1.854,0.835,A,52
U0348,10.844,9.989,D,47
U0349,3.185,4.219,B,58
U0350,8.062,6.847,C,67
U0351,9.853,11.038,D,41
U0352,0.372,1.5,A,75
U0353,0.944,0.523,A,61
U0354,1.963,-0.22,A,34
U0355,5.984,7.666,C,44
U0356,5.813,7.718,C,58
U0357,1.749,3.972,B,50
U0358,-0.368,1.204,A,49
U0359,-0.023,0.603,A,42
U0360,-0.165,1.168,A,79
U0361,3.923,3.686,B,40
U0362,11.593,9.505,D,41
U0363,8.236,6.327,C,76
U0364,0.261,1.082,A,69
U0365,6.706,7.476,C,
U0366,2.251,0.581,A,18
U0367,0.874,0.682,A,78
U0368,4.902,3.736,B,38
U0369,7.206,6.983,C,57
U0370,8.591,6.001,C,77
U0371,2.267,0.96,A,50
U0372,-0.048,1.065,A,
U0373,10.729,10.136,D,44
U0374,7.443,6.505,C,22
U0375,7.827,6.413,C,72
U0376,2.002,1.322,A,80
U0377,5.493,4.351,B,44
U0378,6.672,7.375,C,27
U0379,3.657,3.781,B,20
U0380,1.698,1.271,A,71
U0381,4.271,4.151,B,59
U0382,4.478,3.734,B,22
U0383,6.283,6.363,C,55
U0384,7.777,6.59,C,43
U0385,0.695,1.756,A,20
U0386,9.692,10.893,D,60
U0387,10.422,9.857,D,18
U0388,1.131,0.837,A,51
U0389,12.713,9.09,D,31
U0390,8.115,5.768,C,64
U0391,4.421,3.795,B,42
U0392,5.185,3.102,B,67
U0393,10.86,10.128,D,44
U0394,7.904,6.761,C,27
U0395,7.909,11.614,D,56
U0396,1.821,0.557,A,49
U0397,4.306,3.732,B,37
U0398,4.723,2.803,B,76
U0399,3.601,4.01,B,70
U0400,3.111,4.011,B,23
U0401,5.464,7.71,C,18
U0402,7.73,6.112,C,21
U0403,6.155,6.892,C,61
U0404,6.542,7.788,C,30
U0405,10.033,10.311,D,59
U0406,0.626,1.498,A,42
U0407,4.636,3.508,B,52
U0408,4.647,4.147,B,19
U0409,8.108,6.806,C,80
U0410,6.213,7.389,C,69
U0411,6.986,6.66,C,76
U0412,3.6,4.513,B,71
U0413,0.528,1.4,A,61
U0414,9.237,10.512,D,24
U0415,4.093,3.857,B,49
U0416,7.31,7.035,C,66
U0417,9.839,9.543,D,66
U0418,6.943,6.372,C,78
U0419,0.396,1.127,A,70
U0420,10.038,10.819,D,19
U0421,4.262,4.073,B,38
U0422,4.064,4.883,B,78
U0423,1.515,1.018,A,55
U0424,7.504,6.207,C,32
U0425,6.681,8.304,C,58
U0426,7.222,6.383,C,55
U0427,4.118,4.347,B,67
U0428,6.749,7.469,C,76
U0429,1.123,1.83,A,51
U0430,6.157,7.527,C,24
U0431,4.354,4.072,B,38
U0432,8.333,6.044,C,37
U0433,0.224,1.198,A,75
U0434,7.389,7.221,C,33
U0435,0.672,1.616,A,
U0436,8.776,10.156,D,39
U0437,0.549,0.737,A,50
U0438,4.372,3.295,B,69
U0439,9.119,10.257,D,29
U0440,4.504,4.473,B,50
U0441,6.356,7.003,C,40
U0442,2.904,4.517,B,53
U0443,0.109,1.081,A,60
U0444,-0.258,1.362,A,56
U0445,6.733,6.59,C,23
U0446,5.523,7.296,C,61
U0447,2.269,0.875,A,38
U0448,6.616,6.472,C,33
U0449,8.01,10.929,D,38
U0450,9.637,10.749,D,36
U0451,6.757,6.962,C,36
U0452,10.23,9.448,D,75
U0453,7.17,6.838,C,37
U0454,4.751,2.956,B,70
U0455,0.424,1.399,A,74
U0456,7.37,5.932,C,57
U0457,3.225,-0.261,A,64
U0458,5.666,6.748,C,
U0459,2.539,4.409,B,56
U0460,9.821,9.163,D,50
U0461,10.602,10.851,D,21
U0462,8.879,9.656,D,24
U0463,2.623,0.856,A,62
U0464,3.54,4.008,B,56
U0465,10.531,10.091,D,35
U0466,8.628,7.551,C,71
U0467,8.602,10.052,D,50
U0468,0.184,1.11,A,69
U0469,1.669,0.93,A,77
U0470,11.697,9.734,D,51
U0471,10.018,9.835,D,56
U0472,5.603,6.596,C,68
U0473,4.349,3.662,B,43
U0474,0.905,0.251,A,31
U0475,8.831,9.713,D,23
U0476,1.678,4.646,B,53
U0477,-0.555,0.922,A,80
U0478,7.912,6.413,C,27
U0479,1.103,0.818,A,26
U0480,3.873,4.027,B,37
U0481,9.787,9.822,D,50
U0482,1.357,0.82,A,40
U0483,9.733,10.192,D,55
U0484,4.311,3.426,B,54
U0485,2.517,4.5,B,54
U0486,6.605,6.618,C,68
U0487,9.7,9.953,D,60
U0488,3.6,4.425,B,22
U0489,3.826,4.142,B,51
U0490,7.843,6.913,C,
U0491,8.99,10.677,D,50
U0492,10.553,9.767,D,23
U0493,1.732,1.215,A,37
U0494,9.337,9.601,D,55
U0495,9.69,10.363,D,68
U0496,4.511,3.777,B,74
U0497,6.003,3.992,B,18
U0498,7.575,5.912,C,44
U0499,4.679,3.356,B,24
U0500,1.64,0.173,A,19
U0501,3.562,3.926,B,32
U0502,0.841,0.676,A,64
U0503,3.88,4.09,B,54
U0504,1.585,0.53,A,58
U0505,2.601,0.051,A,22
U0506,9.058,10.374,D,79
U0507,3.435,0.118,A,54
U0508,4.757,3.69,B,21
U0509,10.643,10.108,D,80
U0510,2.727,-0.144,A,33
U0511,2.544,-0.041,A,
U0512,7.477,5.935,C,19
U0513,10.897,9.414,D,46
U0514,11.548,8.017,D,45
U0515,4.596,3.619,B,34
U0516,6.937,7.063,C,54
U0517,9.345,10.308,D,45
U0518,2.503,3.442,B,40
U0519,4.23,3.304,B,38
U0520,11.076,9.424,D,65
U0521,9.731,10.367,D,
U0522,4.015,4.02,B,64
U0523,8.445,6.032,C,25
U0524,0.184,2.115,A,79
U0525,6.635,7.296,C,59
U0526,7.588,6.45,C,28
U0527,9.032,10.493,D,67
U0528,10.292,9.871,D,59
U0529,10.155,9.26,D,48
U0530,0.378,1.145,A,59
U0531,8.342,7.247,C,70
U0532,10.968,9.715,D,48
U0533,6.848,6.391,C,56
U0534,6.706,6.855,C,56
U0535,9.969,10.46,D,52
U0536,4.532,3.246,B,42
U0537,9.236,6.136,C,42
U0538,5.801,3.59,B,49
U0539,5.257,8.417,C,51
U0540,3.637,3.835,B,76
U0541,0.874,1.276,A,41
U0542,4.292,3.83,B,30
U0543,2.697,4.248,B,38
U0544,1.365,0.057,A,26
U0545,10.996,9.905,D,37
U0546,-0.539,0.908,A,57
U0547,4.937,3.812,B,54
U0548,6.137,7.204,C,79
U0549,6.992,7.207,C,43
U0550,4.997,4.307,B,66
U0551,6.694,6.485,C,37
U0552,2.113,1.114,A,51
U0553,8.434,6.78,C,59
U0554,8.805,10.189,D,69
U0555,9.786,9.471,D,69
U0556,3.458,4.675,B,74
U0557,1.307,1.398,A,52
U0558,9.06,10.309,D,61
U0559,7.223,7.169,C,38
U0560,9.95,9.976,D,60
U0561,10.235,8.879,D,70
U0562,1.522,0.259,A,
U0563,1.451,1.214,A,68
U0564,-1.2,1.946,A,66
U0565,5.03,2.993,B,23
U0566,0.579,0.619,A,55
U0567,2.945,0.889,A,68
U0568,8.089,7.328,C,64
U0569,3.403,3.595,B,20
U0570,3.826,4.235,B,
U0571,11.968,9.767,D,32
U0572,1.346,5.435,B,64
U0573,2.246,4.808,B,31
U0574,0.401,0.492,A,69
U0575,3.304,3.991,B,75
U0576,5.746,2.632,B,55
U0577,4.588,4.171,B,61
U0578,4.391,4.429,B,74
U0579,0.711,1.357,A,51
U0580,2.263,0.252,A,44
U0581,2.384,-0.31,A,60
U0582,2.377,5.653,B,74
U0583,3.792,4.87,B,66
U0584,6.626,7.916,C,37
U0585,0.509,1.3,A,45
U0586,9.379,9.306,D,23
U0587,3.363,3.506,B,47
U0588,5.494,7.516,C,42
U0589,1.1,1.298,A,39
U0590,4.802,3.789,B,47
U0591,5.743,8.373,C,64
U0592,1.302,1.178,A,62
U0593,8.983,6.007,C,24
U0594,0.64,0.927,A,70
U0595,7.895,6.766,C,36
U0596,5.176,3.51,B,28
U0597,0.527,1.195,A,45
U0598,5.388,3.621,B,68
U0599,3.665,3.832,B,39
U0600,1.955,0.997,A,49
U0601,10.02,10.41,D,36
U0602,5.981,7.235,C,71
U0603,0.796,0.819,A,64
U0604,9.736,10.157,D,75
U0605,2.08,4.856,B,80
U0606,5.659,7.239,C,40
U0607,0.987,1.587,A,61
U0608,1.658,-0.005,A,
U0609,7.035,6.96,C,58
U0610,6.144,7.851,C,50
U0611,7.417,7.438,C,60
U0612,6.029,7.224,C,66
U0613,3.955,4.122,B,50
U0614,3.882,3.326,B,61
U0615,5.443,7.107,C,36
U0616,4.403,2.942,B,67
U0617,8.275,7.432,C,56
U0618,3.494,-0.343,A,29
U0619,12.247,8.896,D,62
U0620,6.57,7.479,C,68
U0621,9.293,10.5,D,73
U0622,9.447,10.296,D,35
U0623,12.998,8.709,D,56
U0624,1.863,-0.112,A,60
U0625,2.823,4.165,B,37
U0626,7.829,7.087,C,
U0627,1.379,1.002,A,51
U0628,1.347,-0.238,A,48
U0629,6.449,7.379,C,72
U0630,0.559,1.221,A,36
U0631,5.421,2.856,B,31
U0632,0.444,1.287,A,44
U0633,8.59,6.039,C,76
U0634,4.787,3.517,B,69
U0635,0.451,0.636,A,64
U0636,10.895,10.442,D,56
U0637,1.616,0.915,A,20
U0638,3.968,4.364,B,25
U0639,1.085,1.19,A,37
U0640,7.428,7.184,C,25
U0641,7.7,6.274,C,72
U0642,10.015,9.851,D,75
U0643,3.291,5.049,B,28
U0644,1.992,0.866,A,41
U0645,5.854,2.729,B,65
U0646,1.71,0.46,A,28
U0647,6.9,6.256,C,55
U0648,1.741,0.458,A,68
U0649,8.706,10.692,D,39
U0650,9.997,9.896,D,33
U0651,9.748,9.309,D,62
U0652,-0.588,3.327,A,78
U0653,6.284,8.135,C,47
U0654,4.357,3.997,B,45
U0655,1.253,0.753,A,
U0656,0.327,1.295,A,26
U0657,4.743,3.733,B,29
U0658,0.689,0.879,A,28
U0659,11.005,10.006,D,72
U0660,10.964,9.708,D,20
U0661,9.989,10.678,D,46
U0662,9.602,11.103,D,54
U0663,8.516,5.816,C,24
U0664,2.085,0.276,A,22
U0665,1.035,0.754,A,41
U0666,2.987,4.761,B,19
U0667,3.118,4.972,B,44
U0668,4.319,4.508,B,56
U0669,7.001,6.382,C,20
U0670,3.061,5.052,B,
U0671,1.577,0.718,A,27
U0672,-0.82,1.64,A,19
U0673,-0.169,1.243,A,31
U0674,11.406,9.626,D,36
U0675,10.849,9.57,D,25
U0676,11.212,9.614,D,37
U0677,6.928,7.694,C,71
U0678,1.139,1.163,A,72
U0679,3.808,4.117,B,50
U0680,9.741,10.534,D,28
U0681,10.256,9.525,D,28
U0682,8.849,10.405,D,52
U0683,3.559,3.405,B,64
U0684,4.145,3.688,B,70
U0685,9.596,10.111,D,74
U0686,1.8,0.342,A,79
U0687,3.843,3.748,B,49
U0688,4.606,3.433,B,76
U0689,0.972,1.672,A,40
U0690,5.876,7.335,C,66
U0691,10.433,10.606,D,34
U0692,2.318,-0.22,A,55
U0693,1.42,1.148,A,53
U0694,7.694,6.248,C,75
U0695,6.96,6.504,C,18
U0696,9.253,9.814,D,38
U0697,0.606,1.578,A,41
U0698,6.216,3.454,B,23
U0699,3.751,4.801,B,33
U0700,3.738,4.435,B,26
U0701,7.422,6.255,C,42
U0702,3.287,4.915,B,64
U0703,0.628,0.7,A,44
U0704,11.58,10.107,D,34
U0705,9.966,9.983,D,29
U0706,1.659,5.019,B,27
U0707,2.286,0.03,A,42
U0708,9.5,10.529,D,27
U0709,0.725,1.633,A,20
U0710,10.125,9.475,D,47
U0711,1.883,0.902,A,22
U0712,8.532,6.853,C,46
U0713,1.643,0.957,A,74
U0714,6.038,7.476,C,60
U0715,6.442,6.982,C,59
U0716,5.098,7.83,C,40
U0717,3.751,4.612,B,29
U0718,9.33,9.79,D,72
U0719,1.394,1.046,A,28
U0720,4.919,4.192,B,80
U0721,9.158,6.548,C,64
U0722,11.017,9.951,D,75
U0723,6.815,7.601,C,44
U0724,2.565,0.485,A,61
U0725,11.332,8.827,D,73
U0726,7.099,6.967,C,37
U0727,4.81,4.025,B,49
U0728,5.989,8.04,C,46
U0729,3.89,3.9,B,55
U0730,0.588,1.095,A,74
U0731,7.705,6.842,C,45
U0732,11.674,8.395,D,38
U0733,6.796,7.142,C,44
U0734,9.005,6.542,C,74
U0735,0.289,1.607,A,43
U0736,0.864,1.081,A,61
U0737,2.275,0.286,A,67
U0738,5.475,6.902,C,50
U0739,3.895,8.093,C,54
U0740,9.457,10.722,D,52
U0741,5.777,7.787,C,41
U0742,8.211,6.329,C,52
U0743,10.643,9.644,D,30
U0744,7.704,7.377,C,47
U0745,9.439,9.905,D,
U0746,8.429,10.525,D,63
U0747,10.399,10.316,D,72
U0748,7.94,6.072,C,43
U0749,3.55,5.203,B,68
U0750,9.434,9.467,D,23
U0751,7.202,7.666,C,31
U0752,-0.749,0.86,A,63
U0753,2.455,0.951,A,79
U0754,2.238,-0.117,A,23
U0755,3.002,3.847,B,35
U0756,5.988,7.53,C,18
U0757,11.538,10.033,D,44
U0758,7.566,6.62,C,69
U0759,2.388,-0.19,A,51
U0760,7.032,7.014,C,27
U0761,2.436,4.918,B,18
U0762,7.339,6.316,C,45
U0763,-0.335,2.244,A,48
U0764,6.579,3.066,B,42
U0765,9.705,9.99,D,65
U0766,3.163,4.302,B,50
U0767,10.498,10.237,D,19
U0768,4.039,4.324,B,39
U0769,7.443,6.988,C,61
U0770,10.827,9.947,D,21
U0771,6.776,7.4,C,68
U0772,-0.299,1.751,A,19
U0773,7.109,7.705,C,32
U0774,8.661,6.185,C,54
U0775,8.846,10.973,D,20
U0776,1.213,0.326,A,51
U0777,3.433,4.048,B,30
U0778,-0.017,1.497,A,46
U0779,9.654,10.079,D,36
U0780,2.126,4.894,B,69
U0781,1.302,1.753,A,37
U0782,8.14,6.511,C,68
U0783,9.77,10.204,D,76
U0784,4.863,3.488,B,28
U0785,10.738,9.133,D,80
U0786,-0.342,1.272,A,68
U0787,8.342,10.918,D,24
U0788,9.08,10.609,D,29
U0789,4.085,3.343,B,35
U0790,7.873,6.798,C,78
U0791,4.404,3.649,B,56
U0792,10.052,9.27,D,58
U0793,1.458,1.034,A,19
U0794,2.615,4.299,B,64
U0795,7.265,5.743,C,47
U0796,6.489,2.862,B,67
U0797,8.949,10.334,D,29
U0798,0.323,0.802,A,23
U0799,6.167,7.367,C,37
U0800,6.576,6.22,C,61
U0801,-0.066,0.546,A,69
U0802,4.711,4.33,B,72
U0803,9.449,10.088,D,53
U0804,3.885,4.773,B,19
U0805,10.889,10.651,D,53
U0806,-0.136,1.906,A,37
U0807,9.39,10.697,D,36
U0808,10.585,9.391,D,56
U0809,8.056,11.655,D,32
U0810,4.544,4.653,B,62
U0811,7.552,7.163,C,58
U0812,4.185,4.394,B,77
U0813,4.314,4.135,B,34
U0814,2.565,4.368,B,76
U0815,2.798,4.767,B,28
U0816,8.011,6.707,C,57
U0817,3.98,3.781,B,73
U0818,4.869,3.717,B,60
U0819,0.814,0.267,A,36
U0820,10.92,9.534,D,59
U0821,3.937,4.121,B,28
U0822,6.299,6.83,C,20
U0823,6.844,6.312,C,62
U0824,-0.627,2.749,A,34
U0825,6.091,6.781,C,33
U0826,9.65,9.547,D,79
U0827,7.501,7.435,C,77
U0828,10.192,9.951,D,45
U0829,6.574,6.429,C,48
U0830,0.425,0.822,A,61
U0831,3.286,4.412,B,59
U0832,10.625,9.398,D,45
U0833,-0.063,1.291,A,75
U0834,4.82,4.087,B,43
U0835,5.59,3.92,B,41
U0836,3.016,4.599,B,54
U0837,2.657,0.979,A,57
U0838,0.703,1.008,A,29
U0839,1.556,0.459,A,73
U0840,2.981,5.384,B,38
U0841,2.605,0.4,A,23
U0842,4.296,4.639,B,21
U0843,2.913,-0.32,A,24
U0844,1.033,1.073,A,36
U0845,6.687,7.126,C,55
U0846,11.012,9.628,D,21
U0847,3.692,4.644,B,40
U0848,3.95,4.497,B,
U0849,9.96,9.871,D,35
U0850,2.006,0.368,A,43
U0851,3.126,4.597,B,66
U0852,2.154,0.88,A,25
U0853,3.309,4.338,B,33
U0854,5.506,3.099,B,67
U0855,6.728,7.27,C,61
U0856,6.148,7.889,C,55
U0857,0.295,0.714,A,78
U0858,1.553,1.311,A,51
U0859,7.913,6.056,C,62
U0860,0.953,1.487,A,52
U0861,8.35,6.363,C,39
U0862,7.885,11.336,D,69
U0863,4.07,4.563,B,25
U0864,5.443,3.112,B,76
U0865,9.58,9.597,D,51
U0866,6.739,6.295,C,57
U0867,9.077,6.127,C,56
U0868,3.395,4.665,B,44
U0869,10.701,10.155,D,64
U0870,7.786,7.18,C,56
U0871,9.443,10.81,D,57
